ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,DIRECCIONPRINCIPAL,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,PAGOEXITOSO,MOTIVORECHAZO,DIRECCIONMOSTRAR,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
45691655,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,60,NULL,"Animal King Pet Shop","cl 16 # 39 - 96",ABANDONADO,1609459283387,"2021-01-01 00:01:23",NULL,25754,NULL,NULL,NULL,4.6125905858408505,4.58331,-74.22438651323318,-74.21238,EFECTIVO,NULL,APP,NULL,NULL,1000,NORMAL,TIEMPO_RUTA,NORMAL,0,8752199,NULL,NULL,NULL,NULL,NULL,"cl 16 # 39 - par",NULL,"SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691656,NULL,NULL,180,NULL,NULL,NULL,NULL,9300,60,NULL,"Carrera 72B 9-96","cl 63f # 73 - 35",ABANDONADO,1609459283942,"2021-01-01 00:01:24",NULL,11001,NULL,NULL,NULL,4.676951360103374,4.64085,-74.1043009981513,-74.13649,EFECTIVO,NULL,APP,NULL,NULL,3000,NORMAL,TIEMPO_RUTA,NORMAL,0,8952499,NULL,NULL,NULL,NULL,NULL,"cl 63 f # 73 - impar",NULL,"EL ENCANTO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691657,NULL,NULL,180,NULL,NULL,NULL,NULL,8700,60,NULL,"CL 14A Sur # 18 - 50","cl 11 # 2 - 72",ABANDONADO,1609459284080,"2021-01-01 00:01:24",NULL,11001,NULL,NULL,NULL,4.596144559499504,4.58713199400006,-74.07120153307915,-74.09938769799993,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8959113,NULL,NULL,NULL,NULL,NULL,"cl 11 # 2 - par",NULL,EGIPTO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691658,NULL,NULL,180,NULL,NULL,NULL,NULL,24400,60,NULL,"Carrera 83 # 42F - 84 Sur","cl 72 # 10 - 34",ABANDONADO,1609459284675,"2021-01-01 00:01:24",NULL,11001,NULL,NULL,NULL,4.657120703711491,4.628034765000052,-74.05780456960201,-74.16937352899993,TARJETA,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9083706,NULL,NULL,NULL,NULL,NULL,"cl 72 # 10 - par",NULL,"LA PORCIUNCULA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691659,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,"kr 1a # cl 22a sur ",ABANDONADO,1609459285382,"2021-01-01 00:01:25",NULL,11001,NULL,NULL,NULL,4.5697779,NULL,-74.0883127,NULL,EFECTIVO,NULL,CHAT_BOT,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,9354670,NULL,NULL,NULL,NULL,NULL,"kr 1 a # 22 a sur - par",NULL,"GRANADA SUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691660,NULL,NULL,180,NULL,NULL,NULL,NULL,20900,60,NULL,"KR 99C # 60 - 28 Sur","kr 123 # 14b - 46",ABANDONADO,1609459285561,"2021-01-01 00:01:25",NULL,11001,NULL,NULL,NULL,4.6816172171059565,4.637518948000093,-74.16546273976564,-74.19765162099992,EFECTIVO,NULL,APP,NULL,NULL,4000,NORMAL,TIEMPO_RUTA,NORMAL,0,9167887,NULL,NULL,NULL,NULL,NULL,"kr 123 # 14 b - par",NULL,"EL PORVENIR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691661,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,"cl 46 sur # 22a - 38",ABANDONADO,1609459285812,"2021-01-01 00:01:25",NULL,11001,NULL,NULL,NULL,4.575228807295788,NULL,-74.1263621672988,NULL,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8121702,NULL,NULL,NULL,NULL,NULL,"cl 46 sur # 22 a - par",NULL,"SANTA LUCIA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691662,NULL,NULL,180,NULL,NULL,NULL,NULL,13500,60,NULL,"carrera 57 119a-60","dg 61d # 27 - 17",ABANDONADO,1609459285927,"2021-01-01 00:01:26",NULL,11001,NULL,NULL,NULL,4.649815393152317,4.70552,-74.0752536803484,-74.06805,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8965725,NULL,NULL,NULL,NULL,NULL,"dg 61 d # 27 - impar",NULL,"EL CAMPIN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691663,NULL,154134,180,5,5,161521386653396817969,...,20100,60,NULL,"KR 54C # CL 173 (BOGOTA)","ac 53 # 85g - 33",CUMPLIDO,1609459286082,"2021-01-01 00:01:26",NULL,11001,NULL,NULL,NULL,4.68064615467938,4.75541,-74.11419868469238,-74.05393,EFECTIVO,NULL,APP,ESM537,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9053362,NULL,NULL,161521386653396817969,NULL,NULL,"ac 53 # 85 g - impar","Pago definido/preliquidado por 20100","LOS MONJES",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691664,376,NULL,90,NULL,NULL,NULL,NULL,NULL,60,,NULL,"cl. 51b 81i 31 sur",ABANDONADO,1609459286408,"2021-01-01 00:01:26",NULL,11001,17089053,NULL,"VILLA ANDREA CASA/ SON DOS CARROS",4.62191477,NULL,-74.17555645,NULL,EFECTIVO,,RECEPCION,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,,0,4454594,NULL,4454594,NULL,NULL,NULL,"cl 51 b sur # 81 i - impar",NULL,"JORGE URIBE BOTERO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
