ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
46536024,NULL,127708,180,NULL,NULL,14789702747421871,NULL,7900,60,NULL,"Calle 38 Sur # 68G - 47",CANCELADO,1612137643953,"2021-02-01 00:00:44",NULL,11001,NULL,NULL,NULL,4.593516756015613,4.605057860000045,-74.14277661591768,-74.1381023749999,EFECTIVO,NULL,APP,WEX036,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9012560,NULL,NULL,14789702747421871,NULL,LAGUNETA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536025,159,108694,90,NULL,NULL,109028546583909876889,NULL,7000,60,,"CL 128B # KR 89B (BOGOTA)",CUMPLIDO,1612137650355,"2021-02-01 00:00:50",NULL,11001,17341683,NULL,CASA,4.71809267,4.7215846,-74.0927024,-74.0892617,EFECTIVO,,RECEPCION,VER442,5,NULL,NORMAL,TIEMPO_RUTA,,0,8076057,NULL,8076057,109028546583909876889,"Pago definido/preliquidado por 7000","SUBA RINCON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536026,NULL,112587,90,NULL,NULL,159667817916136416645,NULL,6800,60,,"CL 55A SUR # KR 64 (BOGOTA)",CUMPLIDO,1612137657174,"2021-02-01 00:00:57",NULL,11001,17341701,NULL,"CASA 5 // CONJ VILLA PAZ",4.59200194,4.60165,-74.12151588,-74.1555719,EFECTIVO,NULL,IVR,WEX095,5,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,8467443,NULL,8467443,159667817916136416645,"Pago definido/preliquidado por 6800","CIUDAD VILLAMAYOR ANTIGUA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536027,NULL,174216,180,5,NULL,155231613426127175483,NULL,13900,60,NULL,"KR 77A # CL 65A (BOGOTA)",CUMPLIDO,1612137658018,"2021-02-01 00:00:58",NULL,11001,NULL,NULL,NULL,4.704539044396291,4.684397,-74.05729159712793,-74.10511,EFECTIVO,NULL,APP,FUZ047,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8758740,NULL,NULL,155231613426127175483,"Pago definido/preliquidado por 13900","EL BATAN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536028,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,32,"SIN BARRIO",NULL,ABANDONADO,1612137658381,"2021-02-01 00:00:58",NULL,76001,Sip/Cali_4444444,NULL,NULL,0,NULL,0,NULL,EFECTIVO,NULL,IVR,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,5681464,NULL,5681464,NULL,NULL,"SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536029,NULL,103502,180,5,NULL,161126817912253674581,NULL,14700,60,NULL,"CL 43 # KR 16 (BOGOTA)",CUMPLIDO,1612137658475,"2021-02-01 00:00:58",NULL,11001,NULL,NULL,NULL,4.5770398768322265,4.631303739664105,-74.09216769039631,-74.06960026380585,EFECTIVO,NULL,APP,TAY361,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9322359,NULL,NULL,161126817912253674581,"Pago definido/preliquidado por 14700",SOCIEGO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536030,NULL,124393,180,NULL,NULL,150981303075021501410,NULL,10000,60,NULL,"KR 33A # CL 35 SUR (BOGOTA)",CUMPLIDO,1612137659600,"2021-02-01 00:00:59",NULL,11001,NULL,NULL,NULL,4.608536178219627,4.5904300855060605,-74.10259880125521,-74.1194611787796,EFECTIVO,NULL,APP,TEP284,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9436773,NULL,NULL,150981303075021501410,"Pago definido/preliquidado por 10000",COMUNEROS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536031,NULL,NULL,180,NULL,NULL,NULL,NULL,9900,60,NULL,"KR 82G BIS # 59 - 62 Sur",ABANDONADO,1612137663503,"2021-02-01 00:01:03",NULL,11001,NULL,NULL,NULL,4.639364734186287,4.616356899910987,-74.1746848449111,-74.18576572090387,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8122743,NULL,NULL,NULL,NULL,"LAS VEGAS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536032,NULL,165403,180,NULL,NULL,148597642430534824295,NULL,5200,60,NULL,"CL 87 Sur # 91 - 90",CANCELADO,1612137664774,"2021-02-01 00:01:04",NULL,11001,NULL,NULL,NULL,4.623063362455965,4.623097449356881,-74.21180728822947,-74.21183008700609,EFECTIVO,NULL,APP,GUV800,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9457118,NULL,NULL,148597642430534824295,NULL,"SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536033,NULL,171176,180,4,NULL,159829474118142971895,NULL,17100,60,NULL,"CL 56 SUR # TV 82 (BOGOTA)",CUMPLIDO,1612137668721,"2021-02-01 00:01:08",NULL,11001,NULL,NULL,NULL,4.56422645300006,4.61926,-74.14798987799992,-74.18133,EFECTIVO,NULL,APP,VET971,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,6911208,NULL,NULL,159829474118142971895,"Pago definido/preliquidado por 17100","SAN FRANCISCO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
